Segment,Recency,Frequency,Monetary
Hibernating,39,1,350.75
Hibernating,63,2,227.21
Hibernating,166,2,332.91
Loyal Customers,16,7,951.75
Lost / Low Value,82,1,20.4
Loyal Customers,21,3,349.70000000000005
Occasional / At Risk,50,6,494.89
Hibernating,337,1,1866.66
Loyal Customers,96,5,1511.32
Lost / Low Value,30,1,60.0
Lost / Low Value,233,1,57.6
Occasional / At Risk,156,2,388.75
Hibernating,26,2,397.88
Lost / Low Value,284,1,124.5
Occasional / At Risk,143,2,620.05
Hibernating,66,2,124.23
Hibernating,113,1,520.04
Hibernating,267,1,779.68
Lost / Low Value,353,1,190.8
Occasional / At Risk,78,2,270.48
Loyal Customers,28,4,2176.85
Champions (VIP),1,5,1750.09
Hibernating,64,1,242.84
Loyal Customers,79,5,2061.56
Hibernating,143,1,499.03
Hibernating,39,2,152.72
Champions (VIP),19,11,1277.91
Champions (VIP),9,8,1719.21
Loyal Customers,1,3,1074.46
Occasional / At Risk,82,3,296.71000000000004
Loyal Customers,9,6,1121.63
Loyal Customers,60,4,1051.42
Hibernating,15,1,95.27
Hibernating,30,1,297.33000000000004
Hibernating,131,1,828.73
Occasional / At Risk,92,2,577.85
Loyal Customers,59,1,3659.97
Hibernating,29,1,258.75
Loyal Customers,22,4,4141.6
Champions (VIP),20,17,7967.64
Loyal Customers,30,3,721.38
Hibernating,36,1,284.9
Loyal Customers,75,2,698.8
Loyal Customers,47,2,969.58
Occasional / At Risk,198,2,151.79999999999998
Lost / Low Value,166,1,67.19999999999999
Hibernating,79,1,748.88
Lost / Low Value,358,1,168.0
Lost / Low Value,40,1,165.47
Champions (VIP),8,10,2933.7
Loyal Customers,50,2,513.66
Hibernating,8,1,195.08
Hibernating,320,1,301.41
Loyal Customers,5,2,1746.16
Hibernating,303,1,207.05
Champions (VIP),8,7,2701.7400000000002
Hibernating,261,1,336.15
Lost / Low Value,289,1,145.92
Hibernating,86,1,222.13
Champions (VIP),23,10,6673.58
Champions (VIP),2,28,2704.69
Loyal Customers,40,2,489.37
Loyal Customers,9,2,650.87
Hibernating,227,1,150.59
Lost / Low Value,316,1,162.55
Loyal Customers,36,5,1225.31
Loyal Customers,35,3,566.7
Loyal Customers,21,2,2242.96
Hibernating,78,1,329.12
Hibernating,247,1,379.7
Hibernating,40,1,169.76
Hibernating,239,2,313.92
Champions (VIP),3,15,5267.89
Loyal Customers,4,8,1100.6000000000001
Loyal Customers,234,2,1212.95
Hibernating,17,1,186.54000000000002
Lost / Low Value,8,1,104.0
Lost / Low Value,39,1,79.65
Occasional / At Risk,29,2,417.28
Hibernating,211,1,877.26
Hibernating,317,1,323.1
Occasional / At Risk,92,2,350.6
Occasional / At Risk,109,3,382.09999999999997
Loyal Customers,47,8,2743.43
Occasional / At Risk,51,2,288.27
Loyal Customers,19,4,2544.07
Champions (VIP),10,7,2103.43
Loyal Customers,29,7,764.38
Loyal Customers,29,9,1996.22
Occasional / At Risk,190,5,371.51
Lost / Low Value,59,1,129.22
Occasional / At Risk,79,2,236.18
Hibernating,60,1,1490.26
Loyal Customers,78,3,846.11
Loyal Customers,23,4,1479.6399999999999
Hibernating,52,1,924.52
Hibernating,74,1,654.0
Loyal Customers,57,4,2886.4
Hibernating,278,1,218.15
Champions (VIP),2,4,1552.99
Occasional / At Risk,95,2,386.79999999999995
Hibernating,29,1,333.08
Lost / Low Value,22,1,121.41
Loyal Customers,16,8,681.02
Loyal Customers,15,3,1100.1399999999999
Champions (VIP),2,19,7699.9800000000005
Lost / Low Value,232,1,123.85
Hibernating,276,1,269.1
Hibernating,106,2,492.78
Loyal Customers,212,2,1625.82
Champions (VIP),23,9,4945.49
Champions (VIP),11,6,3675.3
Loyal Customers,4,3,665.46
Loyal Customers,10,2,905.08
Hibernating,57,1,396.0
Loyal Customers,59,4,1379.94
Loyal Customers,90,2,1357.69
Champions (VIP),67,8,5056.84
Hibernating,33,1,498.25
Hibernating,239,1,325.3
Loyal Customers,24,3,609.53
Lost / Low Value,115,1,128.9
Loyal Customers,25,3,743.77
Lost / Low Value,221,2,71.28
Hibernating,130,1,417.12
Loyal Customers,34,4,1406.18
Loyal Customers,5,2,838.16
Champions (VIP),22,12,1843.87
Hibernating,155,1,255.3
Occasional / At Risk,107,3,513.0500000000001
Hibernating,3,1,242.44000000000003
Lost / Low Value,335,1,114.0
Hibernating,331,1,732.28
Occasional / At Risk,149,2,752.81
Occasional / At Risk,11,5,499.33
Loyal Customers,17,5,1873.35
Loyal Customers,11,3,623.0
Hibernating,19,1,535.4
Lost / Low Value,30,1,45.6
Hibernating,11,1,203.7
Champions (VIP),1,11,3289.4300000000003
Occasional / At Risk,59,4,406.8
Lost / Low Value,325,1,45.0
Hibernating,58,1,410.23
Loyal Customers,12,4,2666.0
Loyal Customers,151,2,1319.92
Loyal Customers,10,5,2087.47
Lost / Low Value,330,1,162.29999999999998
Occasional / At Risk,5,2,504.62
Loyal Customers,39,4,1289.54
Loyal Customers,25,6,1031.39
Loyal Customers,43,8,1359.8
Hibernating,284,1,639.86
Loyal Customers,1,4,736.97
Champions (VIP),15,21,9584.4
Champions (VIP),4,30,8429.54
Champions (VIP),4,14,5141.41
Loyal Customers,8,6,1646.19
Champions (VIP),28,6,2437.65
Lost / Low Value,372,1,71.14
Hibernating,114,1,2770.04
Loyal Customers,26,2,1020.21
Hibernating,206,1,265.11
Occasional / At Risk,58,4,678.2
Occasional / At Risk,127,4,476.51
Occasional / At Risk,70,2,447.62
Occasional / At Risk,7,4,342.56
Loyal Customers,29,3,676.71
Champions (VIP),8,4,3888.64
Loyal Customers,80,2,652.45
Hibernating,20,1,201.0
Hibernating,71,1,265.55
Champions (VIP),7,8,1180.98
Champions (VIP),15,8,5154.4
Hibernating,292,1,417.52000000000004
Champions (VIP),30,10,2117.96
Champions (VIP),15,14,4585.32
Loyal Customers,97,3,909.8199999999999
Champions (VIP),29,13,2586.98
Loyal Customers,1,1,722.85
Champions (VIP),9,5,3621.0299999999997
Hibernating,106,1,263.36
Loyal Customers,4,2,912.91
Loyal Customers,151,2,774.03
Hibernating,71,1,182.35
Loyal Customers,5,2,498.55
Champions (VIP),3,25,4424.39
Loyal Customers,32,6,2108.19
Hibernating,115,2,726.1
Loyal Customers,4,4,580.33
Loyal Customers,5,4,923.41
Hibernating,371,1,371.8
Loyal Customers,28,7,1550.1
Champions (VIP),11,7,2461.52
Occasional / At Risk,71,4,565.33
Hibernating,114,1,360.71000000000004
Champions (VIP),24,10,7116.69
Lost / Low Value,180,1,178.26000000000002
Hibernating,234,1,276.85
Lost / Low Value,353,1,110.39999999999999
Hibernating,315,2,375.07
Lost / Low Value,333,1,93.6
Lost / Low Value,372,1,110.4
Hibernating,99,1,516.0
Hibernating,64,1,344.8
Hibernating,134,2,418.93
Loyal Customers,56,4,4774.93
Champions (VIP),2,11,2640.41
Champions (VIP),1,196,20441.1
Champions (VIP),4,5,2737.73
Lost / Low Value,129,1,184.98
Hibernating,81,1,854.12
Occasional / At Risk,23,6,1988.77
Hibernating,277,2,61.62
Lost / Low Value,281,1,7.6
Lost / Low Value,87,1,50.879999999999995
Champions (VIP),16,7,3179.0
Loyal Customers,117,2,1468.59
Loyal Customers,52,3,1279.09
Loyal Customers,8,2,1211.3
Hibernating,369,1,320.08
Hibernating,317,1,952.88
Champions (VIP),4,7,5713.12
Hibernating,239,1,869.4
Hibernating,60,1,615.3199999999999
Loyal Customers,17,5,952.14
Occasional / At Risk,20,6,492.49
Loyal Customers,38,8,2523.53
Occasional / At Risk,64,2,594.54
Champions (VIP),5,5,1811.47
Loyal Customers,2,4,1011.3000000000001
Hibernating,15,1,455.46999999999997
Hibernating,364,1,239.0
Occasional / At Risk,10,3,356.26
Hibernating,192,1,199.42000000000002
Hibernating,257,1,329.59
Hibernating,335,2,395.48
Loyal Customers,53,2,795.51
Lost / Low Value,19,1,144.63
Lost / Low Value,366,1,206.13
Hibernating,187,1,397.58
Occasional / At Risk,37,3,445.7
Hibernating,178,1,343.41
Hibernating,262,2,415.55
Hibernating,45,1,229.64000000000001
Hibernating,148,2,687.66
Occasional / At Risk,96,2,265.90000000000003
Lost / Low Value,281,1,126.03999999999999
Lost / Low Value,262,1,267.6
Loyal Customers,3,4,923.62
Lost / Low Value,214,1,75.72
Hibernating,71,2,743.28
Hibernating,60,1,316.42
Champions (VIP),3,7,1460.8
Loyal Customers,6,3,430.15000000000003
Champions (VIP),3,6,961.96
Lost / Low Value,337,1,28.5
Lost / Low Value,262,1,124.75
Loyal Customers,32,2,366.53
Hibernating,145,1,307.03000000000003
Lost / Low Value,283,1,201.08
Loyal Customers,59,4,1620.1200000000001
Lost / Low Value,173,1,58.75
Loyal Customers,34,2,575.3000000000001
Champions (VIP),3,14,5115.12
Loyal Customers,144,4,2726.77
Champions (VIP),5,25,3308.77
Occasional / At Risk,70,2,582.3100000000001
Loyal Customers,160,7,1395.69
Loyal Customers,29,2,325.96000000000004
Lost / Low Value,269,2,54.79
Hibernating,22,1,640.24
Loyal Customers,31,2,719.5
Hibernating,97,1,104.91
Hibernating,295,1,264.15000000000003
Loyal Customers,135,5,1227.2
Loyal Customers,79,3,1056.4
Lost / Low Value,373,1,38.1
Champions (VIP),8,6,1960.03
Hibernating,211,2,831.15
Lost / Low Value,52,1,109.2
Lost / Low Value,138,1,10.2
Loyal Customers,26,2,1355.82
Hibernating,283,1,344.92
Champions (VIP),26,7,3637.29
Loyal Customers,186,6,1534.71
Occasional / At Risk,84,2,120.53999999999999
Hibernating,327,2,507.12
Loyal Customers,58,2,1100.82
Champions (VIP),4,12,1413.31
Hibernating,236,2,839.09
Occasional / At Risk,45,3,220.66
Lost / Low Value,276,1,69.0
Loyal Customers,9,2,995.4
Loyal Customers,25,4,527.87
Lost / Low Value,88,1,107.25
Loyal Customers,63,3,977.22
Loyal Customers,68,2,1059.3600000000001
Occasional / At Risk,214,2,187.92000000000002
Hibernating,24,1,361.63
Hibernating,31,1,176.55
Hibernating,42,2,335.05
Occasional / At Risk,205,2,100.50000000000001
Champions (VIP),10,15,1162.35
Lost / Low Value,265,1,87.78
Loyal Customers,18,2,338.21
Loyal Customers,12,5,1108.02
Loyal Customers,40,5,1022.43
Loyal Customers,23,8,2297.02
Loyal Customers,8,4,735.66
Occasional / At Risk,5,5,1088.45
Occasional / At Risk,149,2,201.05
Loyal Customers,139,4,1785.8
Loyal Customers,8,6,1159.21
Hibernating,17,1,106.89
Champions (VIP),9,37,13030.37
Hibernating,161,1,377.3
Hibernating,64,1,151.67
Occasional / At Risk,88,4,644.2
Loyal Customers,5,2,636.13
Loyal Customers,35,5,1739.74
Lost / Low Value,312,1,70.95
Occasional / At Risk,78,2,389.61
Occasional / At Risk,67,2,48.160000000000004
Loyal Customers,24,3,465.47
Champions (VIP),2,7,1851.55
Loyal Customers,17,3,911.9
Loyal Customers,15,4,1233.1200000000001
Lost / Low Value,26,1,100.22
Lost / Low Value,335,1,81.36
Hibernating,55,2,515.62
Loyal Customers,131,3,496.7
Occasional / At Risk,36,2,519.81
Hibernating,288,1,264.25
Loyal Customers,144,5,1269.59
Champions (VIP),16,7,1892.3600000000001
Champions (VIP),31,8,3639.92
Occasional / At Risk,8,2,284.2
Loyal Customers,9,6,979.12
Loyal Customers,6,4,1058.26
Hibernating,10,1,192.45000000000002
Champions (VIP),1,11,3260.2599999999998
Lost / Low Value,306,1,74.67
Champions (VIP),10,8,3547.04
Occasional / At Risk,7,2,240.89000000000001
Champions (VIP),8,8,1664.06
Hibernating,89,1,595.61
Hibernating,10,1,147.68
Hibernating,358,2,452.2
Lost / Low Value,112,1,126.0
Loyal Customers,7,4,310.05
Champions (VIP),4,78,5357.93
Lost / Low Value,198,1,77.15
Hibernating,212,1,303.6
Lost / Low Value,156,1,10.74
Occasional / At Risk,30,2,372.21999999999997
Hibernating,243,1,376.5
Lost / Low Value,19,1,97.5
Loyal Customers,1,2,1033.52
Occasional / At Risk,74,2,392.45
Hibernating,292,1,301.17
Champions (VIP),3,10,1277.23
Occasional / At Risk,31,3,351.0
Loyal Customers,23,2,461.26
Occasional / At Risk,23,4,414.76
Loyal Customers,4,3,782.52
Loyal Customers,22,4,880.09
Hibernating,205,2,273.78
Occasional / At Risk,260,2,382.16
Champions (VIP),4,13,5060.35
Lost / Low Value,318,1,110.99999999999999
Occasional / At Risk,151,2,89.05000000000001
Champions (VIP),12,17,5139.96
Occasional / At Risk,174,2,323.3
Lost / Low Value,56,1,11.52
Hibernating,323,1,229.46999999999997
Lost / Low Value,372,1,50.550000000000004
Loyal Customers,9,7,1416.15
Champions (VIP),1,13,4146.400000000001
Champions (VIP),11,9,1499.03
Loyal Customers,53,5,2642.29
Loyal Customers,73,3,709.34
Champions (VIP),16,28,6530.12
Champions (VIP),4,9,1855.96
Loyal Customers,64,2,439.86
Occasional / At Risk,1,4,341.88
Loyal Customers,23,2,613.4399999999999
Occasional / At Risk,31,2,116.5
Loyal Customers,11,2,514.84
Hibernating,52,2,735.93
Lost / Low Value,357,1,190.55
Occasional / At Risk,55,2,627.82
Occasional / At Risk,74,2,349.20000000000005
Loyal Customers,138,3,693.37
Occasional / At Risk,80,3,891.46
Loyal Customers,9,2,676.99
Lost / Low Value,273,1,139.7
Hibernating,291,1,391.72
Hibernating,99,1,305.28000000000003
Occasional / At Risk,31,2,419.11
Loyal Customers,57,9,2641.31
Loyal Customers,14,4,1793.91
Occasional / At Risk,64,2,433.68
Champions (VIP),15,17,4703.98
Lost / Low Value,212,1,197.65
Loyal Customers,78,3,1104.06
Occasional / At Risk,25,3,261.45000000000005
Lost / Low Value,250,1,85.65
Hibernating,254,1,243.93
Lost / Low Value,72,1,200.31
Lost / Low Value,191,1,65.69999999999999
Loyal Customers,13,4,879.22
Lost / Low Value,373,1,138.41
Hibernating,24,2,372.75
Lost / Low Value,82,1,91.61
Champions (VIP),1,24,3445.14
Lost / Low Value,192,1,228.8
Lost / Low Value,267,1,177.15
Hibernating,130,1,477.21
Loyal Customers,1,4,637.21
Champions (VIP),3,26,7392.89
Occasional / At Risk,4,5,220.10000000000002
Lost / Low Value,179,1,58.08
Champions (VIP),12,10,17925.53
Loyal Customers,126,8,1177.36
Occasional / At Risk,4,2,235.8
Occasional / At Risk,158,2,217.68
Champions (VIP),4,80,36347.88
Champions (VIP),9,13,3737.11
Hibernating,28,1,281.08
Occasional / At Risk,71,5,266.61
Loyal Customers,276,8,3429.4700000000003
Lost / Low Value,206,2,106.2
Lost / Low Value,71,1,60.48
Champions (VIP),33,10,4084.6800000000003
Champions (VIP),1,27,9869.38
Lost / Low Value,234,1,65.5
Champions (VIP),1,24,4998.69
Lost / Low Value,40,1,141.94
Occasional / At Risk,3,4,570.48
Lost / Low Value,133,1,76.5
Loyal Customers,44,4,1092.0
Lost / Low Value,373,1,95.3
Loyal Customers,60,2,763.2
Loyal Customers,31,7,971.22
Champions (VIP),1,24,3286.14
Loyal Customers,12,4,2029.06
Hibernating,138,1,291.29
Loyal Customers,22,8,840.7
Loyal Customers,20,5,1125.96
Lost / Low Value,239,1,30.599999999999998
Hibernating,269,1,260.36
Hibernating,240,1,821.1
Loyal Customers,90,3,2850.53
Champions (VIP),5,8,1783.57
Hibernating,78,1,259.17
Lost / Low Value,94,1,64.0
Loyal Customers,23,3,604.3
Lost / Low Value,262,1,60.3
Occasional / At Risk,274,2,79.95
Loyal Customers,86,4,1392.14
Loyal Customers,56,5,2408.51
Champions (VIP),11,8,3506.77
Loyal Customers,22,6,946.49
Champions (VIP),16,7,2473.04
Occasional / At Risk,108,3,348.67
Loyal Customers,85,5,2260.53
Hibernating,19,1,215.92
Lost / Low Value,333,1,47.2
Occasional / At Risk,40,3,297.6
Hibernating,26,1,228.91
Occasional / At Risk,43,2,237.60000000000002
Champions (VIP),29,11,2685.36
Loyal Customers,14,4,1210.68
Hibernating,296,1,773.27
Lost / Low Value,6,1,140.46
Loyal Customers,33,4,843.0600000000001
Loyal Customers,49,4,1447.98
Loyal Customers,95,4,1193.5
Loyal Customers,9,4,1215.79
Lost / Low Value,22,1,75.89999999999999
Lost / Low Value,313,1,95.75
Loyal Customers,122,4,1156.15
Occasional / At Risk,46,2,349.28
Hibernating,283,1,349.6
Loyal Customers,19,4,470.15999999999997
Loyal Customers,36,4,1097.29
Occasional / At Risk,64,2,355.1
Hibernating,27,1,101.97
Occasional / At Risk,22,3,261.51
Occasional / At Risk,4,2,340.21
Loyal Customers,16,3,1994.53
Hibernating,46,1,337.43
Hibernating,65,1,282.45
Champions (VIP),26,11,4569.75
Lost / Low Value,45,1,121.18
Champions (VIP),8,9,1126.63
Champions (VIP),15,10,1395.77
Lost / Low Value,268,1,71.4
Loyal Customers,40,3,1362.02
Hibernating,337,1,154.02
Lost / Low Value,11,1,99.60000000000001
Occasional / At Risk,19,2,167.28
Loyal Customers,95,2,859.14
Hibernating,61,1,95.13
Lost / Low Value,136,1,60.7
Loyal Customers,11,4,1704.03
Champions (VIP),10,6,3181.55
Champions (VIP),8,19,2420.0
Loyal Customers,22,3,607.27
Loyal Customers,10,4,798.68
Occasional / At Risk,15,2,250.26000000000002
Loyal Customers,59,5,1045.07
Champions (VIP),30,7,4798.16
Hibernating,94,1,293.0
Loyal Customers,10,3,483.42
Loyal Customers,20,3,527.48
Loyal Customers,57,5,1197.28
Lost / Low Value,268,1,10.5
Lost / Low Value,122,1,52.02
Lost / Low Value,127,1,56.76
Occasional / At Risk,78,4,506.04
Hibernating,240,2,568.16
Lost / Low Value,200,1,62.4
Loyal Customers,60,2,1804.92
Lost / Low Value,273,1,85.51
Lost / Low Value,202,1,257.7
Lost / Low Value,226,1,123.15
Champions (VIP),4,14,2036.45
Champions (VIP),13,7,969.3100000000001
Occasional / At Risk,74,2,477.2
Hibernating,212,1,870.57
Loyal Customers,25,2,592.33
Occasional / At Risk,23,3,493.68
Hibernating,262,1,292.12
Loyal Customers,96,4,616.7
Occasional / At Risk,112,3,270.40000000000003
Hibernating,203,1,480.02000000000004
Hibernating,93,1,94.79
Hibernating,51,1,259.85
Loyal Customers,18,6,818.53
Loyal Customers,18,4,474.72
Hibernating,125,2,434.21
Lost / Low Value,93,1,82.23
Occasional / At Risk,157,2,380.15999999999997
Occasional / At Risk,9,2,198.46
Occasional / At Risk,12,3,483.73
Hibernating,62,1,249.18
Lost / Low Value,61,1,82.32000000000001
Occasional / At Risk,269,2,670.5
Lost / Low Value,263,1,132.29
Champions (VIP),1,34,6695.64
Loyal Customers,53,5,1232.52
Champions (VIP),11,12,2290.61
Champions (VIP),3,18,3704.69
Champions (VIP),18,10,2807.06
Champions (VIP),1,15,4350.16
Hibernating,37,1,211.49
Occasional / At Risk,31,2,205.66000000000003
Hibernating,113,1,128.54
Hibernating,64,2,462.98
Occasional / At Risk,16,3,159.4
Hibernating,41,1,459.86
Lost / Low Value,78,1,137.75
Loyal Customers,122,3,723.45
Occasional / At Risk,18,3,726.94
Occasional / At Risk,60,2,93.66
Lost / Low Value,331,1,148.74
Loyal Customers,23,4,2566.02
Hibernating,156,1,338.41
Occasional / At Risk,39,2,418.45
Hibernating,190,2,726.39
Lost / Low Value,360,1,168.3
Lost / Low Value,137,1,53.4
Loyal Customers,8,4,1641.59
Lost / Low Value,1,1,90.0
Lost / Low Value,268,1,82.80000000000001
Hibernating,169,1,371.89
Loyal Customers,104,4,507.74
Hibernating,351,1,244.85000000000002
Champions (VIP),4,10,1000.21
Lost / Low Value,120,1,15.0
Loyal Customers,23,3,1092.43
Loyal Customers,7,5,1389.78
Loyal Customers,28,3,1015.73
Occasional / At Risk,4,2,408.82000000000005
Loyal Customers,22,5,1475.1200000000001
Loyal Customers,2,3,666.69
Loyal Customers,37,4,580.49
Loyal Customers,66,6,1781.8300000000002
Loyal Customers,1,3,379.53999999999996
Champions (VIP),5,26,9305.39
Loyal Customers,78,4,1532.2
Hibernating,86,1,259.04
Hibernating,17,1,199.48000000000002
Occasional / At Risk,3,5,583.85
Occasional / At Risk,36,8,1036.95
Hibernating,82,1,471.3
Loyal Customers,39,8,2690.07
Lost / Low Value,316,1,235.68
Occasional / At Risk,32,2,312.48
Loyal Customers,93,3,961.38
Hibernating,14,1,338.4
Loyal Customers,82,3,3139.07
Hibernating,77,1,752.8000000000001
Hibernating,158,1,316.47
Hibernating,201,1,664.42
Loyal Customers,45,6,2161.56
Hibernating,261,1,603.55
Hibernating,178,1,290.93
Loyal Customers,68,3,1684.29
Hibernating,288,1,299.70000000000005
Lost / Low Value,70,1,148.79999999999998
Hibernating,64,1,233.76
Hibernating,11,1,197.32
Loyal Customers,16,2,652.77
Hibernating,66,1,323.94
Hibernating,60,1,316.17999999999995
Hibernating,71,1,684.91
Hibernating,122,1,516.0
Hibernating,80,1,548.59
Hibernating,257,1,491.6
Hibernating,269,1,304.71
Hibernating,64,1,307.06
Loyal Customers,9,4,2686.64
Loyal Customers,18,2,834.89
Lost / Low Value,71,1,134.95999999999998
Loyal Customers,34,2,1718.8700000000001
Occasional / At Risk,257,2,430.18
Lost / Low Value,366,1,198.38000000000002
Hibernating,372,1,604.75
Hibernating,90,1,290.04
Loyal Customers,61,3,2726.17
Hibernating,89,1,607.1800000000001
Loyal Customers,99,3,834.3100000000001
Loyal Customers,26,3,521.36
Loyal Customers,32,6,3045.75
Hibernating,281,1,197.14000000000001
Champions (VIP),31,7,2877.66
Hibernating,330,1,403.07
Hibernating,131,2,505.45
Loyal Customers,11,3,700.66
Hibernating,75,1,304.68
Champions (VIP),2,8,1999.09
Hibernating,185,1,251.28
Occasional / At Risk,29,2,936.69
Occasional / At Risk,73,4,1118.81
Hibernating,192,1,383.57
Occasional / At Risk,127,2,587.23
Lost / Low Value,18,1,30.0
Occasional / At Risk,1,2,252.49
Occasional / At Risk,204,2,363.35
Champions (VIP),2,52,9337.800000000001
Occasional / At Risk,24,4,588.34
Hibernating,107,1,203.60000000000002
Hibernating,134,2,568.5
Occasional / At Risk,44,2,576.5
Occasional / At Risk,5,2,290.48
Champions (VIP),12,18,4699.71
Hibernating,64,1,221.06
Occasional / At Risk,150,2,87.6
Loyal Customers,40,2,1556.54
Loyal Customers,64,1,2292.0
Loyal Customers,108,3,1057.45
Champions (VIP),1,10,3007.02
Occasional / At Risk,19,3,445.34
Hibernating,10,1,168.38
Loyal Customers,11,4,816.69
Loyal Customers,19,2,574.25
Hibernating,67,2,814.8
Occasional / At Risk,74,2,179.04000000000002
Champions (VIP),5,7,1894.06
Lost / Low Value,2,1,113.53999999999999
Champions (VIP),14,7,2384.36
Hibernating,255,1,273.27
Hibernating,92,1,195.36
Loyal Customers,23,3,1026.69
Champions (VIP),17,6,3027.5
Hibernating,24,1,291.88
Loyal Customers,27,6,1272.48
Champions (VIP),26,5,2608.66
Occasional / At Risk,166,2,245.57999999999998
Occasional / At Risk,25,2,660.19
Loyal Customers,18,5,1180.1200000000001
Champions (VIP),7,14,7396.57
Hibernating,29,2,183.44
Occasional / At Risk,39,3,329.8
Lost / Low Value,253,1,135.0
Hibernating,58,1,606.73
Hibernating,184,1,197.70000000000002
Loyal Customers,11,2,860.01
Champions (VIP),2,37,3762.89
Lost / Low Value,99,2,165.0
Champions (VIP),1,4,2210.64
Occasional / At Risk,61,2,326.96
Hibernating,236,1,185.24
Loyal Customers,191,4,1115.66
Loyal Customers,179,2,697.67
Loyal Customers,38,6,1249.8899999999999
Occasional / At Risk,201,2,261.15
Loyal Customers,46,5,1680.26
Lost / Low Value,232,1,184.64
Lost / Low Value,66,1,140.34
Lost / Low Value,241,1,202.5
Hibernating,233,1,394.44
Loyal Customers,78,3,999.55
Occasional / At Risk,58,3,361.1
Champions (VIP),17,13,6585.43
Occasional / At Risk,105,3,175.44
Loyal Customers,52,10,943.34
Loyal Customers,136,3,729.24
Lost / Low Value,287,1,14.850000000000001
Hibernating,312,1,296.1
Loyal Customers,8,5,1716.07
Occasional / At Risk,11,2,563.63
Occasional / At Risk,283,2,348.05
